gene_name	mod_code	chrom	start0	end0	strand	n_tx_tested	test_name	stat_name	stat_value	p_value	effect_max_abs_frac_diff	per_transcript_json	p_adj_bh
ALCAM	19229	chr3	105367195	105367196	+	4	chi2_4x2_pc0.5	chi2	3.151650262487406	0.36882949938698206	0.0	"[{""ZN"":1,""Ncov"":3131,""Nmod"":0,""frac"":0.0},{""ZN"":2,""Ncov"":680,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":431,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":192,""Nmod"":0,""frac"":0.0}]"	0.5662016927741795
ALCAM	69426	chr3	105576465	105576466	+	2	fisher_exact_2x2	fisher_odds	0.6158212781541842	0.3689253698793869	0.002151	"[{""ZN"":1,""Ncov"":5480,""Nmod"":19,""frac"":0.003467153284671533},{""ZN"":2,""Ncov"":890,""Nmod"":5,""frac"":0.0056179775280898875}]"	0.5663150021253062
ALCAM	19228	chr3	105367221	105367222	+	4	chi2_4x2_pc0.5	chi2	3.14982149464851	0.3690974785593923	0.0	"[{""ZN"":1,""Ncov"":3061,""Nmod"":0,""frac"":0.0},{""ZN"":2,""Ncov"":664,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":420,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":188,""Nmod"":0,""frac"":0.0}]"	0.5665453195561566
MXD1	19227	chr2	69938627	69938628	+	3	chi2_3x2_pc0.5	chi2	1.9920846180568537	0.3693382792253049	0.003058	"[{""ZN"":1,""Ncov"":1962,""Nmod"":6,""frac"":0.0030581039755351682},{""ZN"":2,""Ncov"":743,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":470,""Nmod"":0,""frac"":0.0}]"	0.5668810417476998
MXD1	a	chr2	69939861	69939862	+	3	chi2_3x2_pc0.5	chi2	1.9908247416744367	0.3695710128090542	0.011919	"[{""ZN"":1,""Ncov"":2056,""Nmod"":77,""frac"":0.03745136186770428},{""ZN"":2,""Ncov"":750,""Nmod"":22,""frac"":0.029333333333333333},{""ZN"":3,""Ncov"":470,""Nmod"":12,""frac"":0.02553191489361702}]"	0.567204342729362
ALCAM	19227	chr3	105576755	105576756	+	2	fisher_exact_2x2	fisher_odds	0.6938325991189427	0.3701194506858381	0.002791	"[{""ZN"":1,""Ncov"":5483,""Nmod"":35,""frac"":0.006383366770016414},{""ZN"":2,""Ncov"":872,""Nmod"":8,""frac"":0.009174311926605505}]"	0.5680121077239859
RIOK3	17802	chr18	23481895	23481896	+	4	chi2_4x2_pc0.5	chi2	3.141033363257681	0.37038758530531624	0.011112	"[{""ZN"":1,""Ncov"":5757,""Nmod"":77,""frac"":0.013375021712697586},{""ZN"":3,""Ncov"":1732,""Nmod"":19,""frac"":0.010969976905311778},{""ZN"":5,""Ncov"":516,""Nmod"":6,""frac"":0.011627906976744186},{""ZN"":6,""Ncov"":317,""Nmod"":7,""frac"":0.022082018927444796}]"	0.5683216836984089
ALCAM	19227	chr3	105534674	105534675	+	3	chi2_3x2_pc0.5	chi2	1.9864252435370675	0.370384871114137	0.003514	"[{""ZN"":1,""Ncov"":3699,""Nmod"":13,""frac"":0.003514463368477967},{""ZN"":2,""Ncov"":752,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":280,""Nmod"":0,""frac"":0.0}]"	0.5683216836984089
MXD1	19228	chr2	69940437	69940438	+	3	chi2_3x2_pc0.5	chi2	1.9866027819877903	0.3703519937953111	0.003011	"[{""ZN"":1,""Ncov"":1993,""Nmod"":6,""frac"":0.0030105368790767687},{""ZN"":2,""Ncov"":763,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":466,""Nmod"":0,""frac"":0.0}]"	0.5683216836984089
ALCAM	a	chr3	105366846	105366847	+	2	fisher_exact_2x2	fisher_odds	inf	0.37043717386147307	0.024155	"[{""ZN"":1,""Ncov"":414,""Nmod"":10,""frac"":0.024154589371980676},{""ZN"":2,""Ncov"":69,""Nmod"":0,""frac"":0.0}]"	0.5683638015402663
ALCAM	a	chr3	105366837	105366838	+	2	fisher_exact_2x2	fisher_odds	inf	0.3705003494038407	0.023866	"[{""ZN"":1,""Ncov"":419,""Nmod"":10,""frac"":0.02386634844868735},{""ZN"":2,""Ncov"":69,""Nmod"":0,""frac"":0.0}]"	0.5684267596901571
ALCAM	a	chr3	105366842	105366843	+	2	fisher_exact_2x2	fisher_odds	inf	0.3705268909729016	0.024631	"[{""ZN"":1,""Ncov"":406,""Nmod"":10,""frac"":0.024630541871921183},{""ZN"":2,""Ncov"":69,""Nmod"":0,""frac"":0.0}]"	0.5684335093257039
ALCAM	19229	chr3	105524343	105524344	+	4	chi2_4x2_pc0.5	chi2	3.1385899903849177	0.37074696222188663	0.003816	"[{""ZN"":1,""Ncov"":3669,""Nmod"":14,""frac"":0.0038157536113382394},{""ZN"":2,""Ncov"":736,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":503,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":272,""Nmod"":0,""frac"":0.0}]"	0.5687371385814325
RIOK3	a	chr18	23481898	23481899	+	3	chi2_3x2_pc0.5	chi2	1.9839209395816608	0.37084893974460664	0.037313	"[{""ZN"":1,""Ncov"":134,""Nmod"":5,""frac"":0.03731343283582089},{""ZN"":3,""Ncov"":66,""Nmod"":0,""frac"":0.0},{""ZN"":5,""Ncov"":29,""Nmod"":0,""frac"":0.0}]"	0.5688595830021237
ALCAM	a	chr3	105547252	105547253	+	2	fisher_exact_2x2	fisher_odds	0.54421768707483	0.3709889770851311	0.11204	"[{""ZN"":1,""Ncov"":52,""Nmod"":10,""frac"":0.19230769230769232},{""ZN"":2,""Ncov"":23,""Nmod"":7,""frac"":0.30434782608695654}]"	0.5690291689204177
MXD1	17596	chr2	69938991	69938992	+	3	chi2_3x2_pc0.5	chi2	1.9830858057721676	0.37100382632400863	0.006593	"[{""ZN"":1,""Ncov"":2101,""Nmod"":27,""frac"":0.01285102332222751},{""ZN"":2,""Ncov"":799,""Nmod"":5,""frac"":0.006257822277847309},{""ZN"":3,""Ncov"":475,""Nmod"":5,""frac"":0.010526315789473684}]"	0.5690291689204177
RIOK3	17802	chr18	23482392	23482393	+	4	chi2_4x2_pc0.5	chi2	3.1366200887917293	0.37103691779545844	0.005518	"[{""ZN"":1,""Ncov"":5437,""Nmod"":30,""frac"":0.0055177487585065296},{""ZN"":3,""Ncov"":1623,""Nmod"":6,""frac"":0.0036968576709796672},{""ZN"":5,""Ncov"":514,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":298,""Nmod"":0,""frac"":0.0}]"	0.5690459259002932
MXD1	19228	chr2	69938593	69938594	+	3	chi2_3x2_pc0.5	chi2	1.9820133319487325	0.3712028256206877	0.002838	"[{""ZN"":1,""Ncov"":2114,""Nmod"":6,""frac"":0.002838221381267739},{""ZN"":2,""Ncov"":808,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":494,""Nmod"":0,""frac"":0.0}]"	0.5692323600343047
MXD1	m	chr2	69938593	69938594	+	3	chi2_3x2_pc0.5	chi2	1.9820133319487325	0.3712028256206877	0.002838	"[{""ZN"":1,""Ncov"":2114,""Nmod"":6,""frac"":0.002838221381267739},{""ZN"":2,""Ncov"":808,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":494,""Nmod"":0,""frac"":0.0}]"	0.5692323600343047
RIOK3	17802	chr18	23481882	23481883	+	2	fisher_exact_2x2	fisher_odds	inf	0.37153278273960166	0.062201	"[{""ZN"":1,""Ncov"":209,""Nmod"":13,""frac"":0.06220095693779904},{""ZN"":3,""Ncov"":24,""Nmod"":0,""frac"":0.0}]"	0.5696949805486731
ALCAM	17596	chr3	105367231	105367232	+	4	chi2_4x2_pc0.5	chi2	3.1331450849486977	0.3715488882567168	0.0	"[{""ZN"":1,""Ncov"":3188,""Nmod"":0,""frac"":0.0},{""ZN"":2,""Ncov"":683,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":418,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":200,""Nmod"":0,""frac"":0.0}]"	0.5696949805486731
RIOK3	17596	chr18	23481515	23481516	+	4	chi2_4x2_pc0.5	chi2	3.1325996701290033	0.3716292989412164	0.002967	"[{""ZN"":1,""Ncov"":5745,""Nmod"":7,""frac"":0.0012184508268059183},{""ZN"":3,""Ncov"":1685,""Nmod"":5,""frac"":0.002967359050445104},{""ZN"":5,""Ncov"":519,""Nmod"":0,""frac"":0.0},{""ZN"":6,""Ncov"":313,""Nmod"":0,""frac"":0.0}]"	0.5697502157311978
MXD1	m	chr2	69939325	69939326	+	3	chi2_3x2_pc0.5	chi2	1.9797766145614804	0.37161819575092436	0.002882	"[{""ZN"":1,""Ncov"":2082,""Nmod"":6,""frac"":0.002881844380403458},{""ZN"":2,""Ncov"":790,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":492,""Nmod"":0,""frac"":0.0}]"	0.5697502157311978
MXD1	m	chr2	69940189	69940190	+	3	chi2_3x2_pc0.5	chi2	1.979337643113431	0.3716997695914987	0.002897	"[{""ZN"":1,""Ncov"":2071,""Nmod"":6,""frac"":0.0028971511347175277},{""ZN"":2,""Ncov"":794,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":480,""Nmod"":0,""frac"":0.0}]"	0.5698242257824527
MXD1	17802	chr2	69940081	69940082	+	3	chi2_3x2_pc0.5	chi2	1.9787380491972026	0.3718112207572795	0.002893	"[{""ZN"":1,""Ncov"":2074,""Nmod"":6,""frac"":0.0028929604628736743},{""ZN"":2,""Ncov"":792,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":484,""Nmod"":0,""frac"":0.0}]"	0.5699610473088242
MXD1	m	chr2	69940627	69940628	+	3	chi2_3x2_pc0.5	chi2	1.9775027391083537	0.3720409427705309	0.00296	"[{""ZN"":1,""Ncov"":2027,""Nmod"":6,""frac"":0.0029600394671928957},{""ZN"":2,""Ncov"":770,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":477,""Nmod"":0,""frac"":0.0}]"	0.5702791427516759
ALCAM	a	chr3	105366863	105366864	+	2	fisher_exact_2x2	fisher_odds	inf	0.37228016062585545	0.020325	"[{""ZN"":1,""Ncov"":492,""Nmod"":10,""frac"":0.02032520325203252},{""ZN"":2,""Ncov"":77,""Nmod"":0,""frac"":0.0}]"	0.5705839434590747
ALCAM	19227	chr3	105547272	105547273	+	3	chi2_3x2_pc0.5	chi2	1.9761952517688073	0.37228424170066615	0.006897	"[{""ZN"":1,""Ncov"":4633,""Nmod"":21,""frac"":0.0045327001942585795},{""ZN"":2,""Ncov"":870,""Nmod"":6,""frac"":0.006896551724137931},{""ZN"":4,""Ncov"":320,""Nmod"":0,""frac"":0.0}]"	0.5705839434590747
MXD1	m	chr2	69915094	69915095	+	3	chi2_3x2_pc0.5	chi2	1.9752872194692992	0.37245330313410363	0.025312	"[{""ZN"":1,""Ncov"":825,""Nmod"":37,""frac"":0.044848484848484846},{""ZN"":2,""Ncov"":340,""Nmod"":12,""frac"":0.03529411764705882},{""ZN"":3,""Ncov"":198,""Nmod"":12,""frac"":0.06060606060606061}]"	0.5708089784525526
MXD1	17802	chr2	69940362	69940363	+	3	chi2_3x2_pc0.5	chi2	1.9749615472002218	0.37251395692846295	0.002863	"[{""ZN"":1,""Ncov"":2096,""Nmod"":6,""frac"":0.0028625954198473282},{""ZN"":2,""Ncov"":800,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":488,""Nmod"":0,""frac"":0.0}]"	0.5708337791600012
MXD1	19228	chr2	69939663	69939664	+	3	chi2_3x2_pc0.5	chi2	1.975044167489904	0.3724985686407952	0.002846	"[{""ZN"":1,""Ncov"":2108,""Nmod"":6,""frac"":0.0028462998102466793},{""ZN"":2,""Ncov"":800,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":496,""Nmod"":0,""frac"":0.0}]"	0.5708337791600012
MXD1	19228	chr2	69938616	69938617	+	2	fisher_exact_2x2	fisher_odds	0.5833333333333334	0.3727934766192621	0.03913	"[{""ZN"":1,""Ncov"":115,""Nmod"":7,""frac"":0.06086956521739131},{""ZN"":3,""Ncov"":60,""Nmod"":6,""frac"":0.1}]"	0.5712280131174463
MXD1	19228	chr2	69939024	69939025	+	3	chi2_3x2_pc0.5	chi2	1.972156226044953	0.3730368341944008	0.002864	"[{""ZN"":1,""Ncov"":2095,""Nmod"":6,""frac"":0.002863961813842482},{""ZN"":2,""Ncov"":801,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":485,""Nmod"":0,""frac"":0.0}]"	0.5715667924463538
ALCAM	a	chr3	105575553	105575554	+	3	chi2_3x2_pc0.5	chi2	1.9717728713131806	0.3731083437653219	0.007635	"[{""ZN"":1,""Ncov"":5260,""Nmod"":48,""frac"":0.009125475285171103},{""ZN"":2,""Ncov"":840,""Nmod"":5,""frac"":0.005952380952380952},{""ZN"":4,""Ncov"":368,""Nmod"":5,""frac"":0.01358695652173913}]"	0.5716422416533388
ALCAM	19229	chr3	105547199	105547200	+	3	chi2_3x2_pc0.5	chi2	1.9708513606950797	0.3732802950262489	0.00813	"[{""ZN"":1,""Ncov"":4644,""Nmod"":28,""frac"":0.006029285099052541},{""ZN"":2,""Ncov"":861,""Nmod"":7,""frac"":0.008130081300813009},{""ZN"":4,""Ncov"":319,""Nmod"":0,""frac"":0.0}]"	0.5718458592700406
ALCAM	a	chr3	105367081	105367082	+	4	chi2_4x2_pc0.5	chi2	3.1213863442643777	0.3732857942368082	0.0	"[{""ZN"":1,""Ncov"":2974,""Nmod"":0,""frac"":0.0},{""ZN"":2,""Ncov"":620,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":414,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":184,""Nmod"":0,""frac"":0.0}]"	0.5718458592700406
ALCAM	a	chr3	105576779	105576780	+	2	fisher_exact_2x2	fisher_odds	1.1846120096523942	0.37370991255273983	0.008485	"[{""ZN"":1,""Ncov"":5189,""Nmod"":297,""frac"":0.05723646174600116},{""ZN"":2,""Ncov"":841,""Nmod"":41,""frac"":0.04875148632580262}]"	0.5724614162571715
ALCAM	19227	chr3	105547262	105547263	+	3	chi2_3x2_pc0.5	chi2	1.967967057720511	0.3738190101199133	0.009009	"[{""ZN"":1,""Ncov"":4662,""Nmod"":42,""frac"":0.009009009009009009},{""ZN"":2,""Ncov"":861,""Nmod"":7,""frac"":0.008130081300813009},{""ZN"":4,""Ncov"":316,""Nmod"":0,""frac"":0.0}]"	0.5725943692003828
MXD1	17802	chr2	69938595	69938596	+	3	chi2_3x2_pc0.5	chi2	1.9676514446327578	0.3738780058607703	0.002826	"[{""ZN"":1,""Ncov"":2123,""Nmod"":6,""frac"":0.002826189354686764},{""ZN"":2,""Ncov"":806,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":496,""Nmod"":0,""frac"":0.0}]"	0.5726505677738617
ALCAM	17802	chr3	105367186	105367187	+	4	chi2_4x2_pc0.5	chi2	3.114971027730752	0.3742363438813111	0.0	"[{""ZN"":1,""Ncov"":3094,""Nmod"":0,""frac"":0.0},{""ZN"":2,""Ncov"":648,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":430,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":192,""Nmod"":0,""frac"":0.0}]"	0.5731026127371659
ALCAM	19227	chr3	105367186	105367187	+	4	chi2_4x2_pc0.5	chi2	3.114971027730752	0.3742363438813111	0.0	"[{""ZN"":1,""Ncov"":3094,""Nmod"":0,""frac"":0.0},{""ZN"":2,""Ncov"":648,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":430,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":192,""Nmod"":0,""frac"":0.0}]"	0.5731026127371659
ALCAM	19227	chr3	105367234	105367235	+	4	chi2_4x2_pc0.5	chi2	3.1149456125351134	0.37424011373971056	0.0	"[{""ZN"":1,""Ncov"":3211,""Nmod"":0,""frac"":0.0},{""ZN"":2,""Ncov"":694,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":440,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":200,""Nmod"":0,""frac"":0.0}]"	0.5731026127371659
ALCAM	19229	chr3	105547226	105547227	+	3	chi2_3x2_pc0.5	chi2	1.9642923427212788	0.3745064806528243	0.003043	"[{""ZN"":1,""Ncov"":4601,""Nmod"":14,""frac"":0.0030428167789610956},{""ZN"":2,""Ncov"":864,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":320,""Nmod"":0,""frac"":0.0}]"	0.5734763120381333
MXD1	19227	chr2	69938304	69938305	+	3	chi2_3x2_pc0.5	chi2	1.9636937187366228	0.3746185917109434	0.002841	"[{""ZN"":1,""Ncov"":2112,""Nmod"":6,""frac"":0.002840909090909091},{""ZN"":2,""Ncov"":798,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":496,""Nmod"":0,""frac"":0.0}]"	0.5736137711083943
ALCAM	a	chr3	105366776	105366777	+	2	fisher_exact_2x2	fisher_odds	inf	0.374756838618338	0.025974	"[{""ZN"":1,""Ncov"":385,""Nmod"":10,""frac"":0.025974025974025976},{""ZN"":2,""Ncov"":72,""Nmod"":0,""frac"":0.0}]"	0.5737775928461817
MXD1	19228	chr2	69938784	69938785	+	3	chi2_3x2_pc0.5	chi2	1.9627647733994382	0.3747926322233414	0.002956	"[{""ZN"":1,""Ncov"":2030,""Nmod"":6,""frac"":0.002955665024630542},{""ZN"":2,""Ncov"":769,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":474,""Nmod"":0,""frac"":0.0}]"	0.5737775928461817
RIOK3	17802	chr18	23473559	23473560	+	3	chi2_3x2_pc0.5	chi2	1.962769339326842	0.37479177658634305	0.002639	"[{""ZN"":1,""Ncov"":4838,""Nmod"":6,""frac"":0.0012401818933443572},{""ZN"":2,""Ncov"":2274,""Nmod"":6,""frac"":0.002638522427440633},{""ZN"":6,""Ncov"":311,""Nmod"":0,""frac"":0.0}]"	0.5737775928461817
ALCAM	m	chr3	105576739	105576740	+	2	fisher_exact_2x2	fisher_odds	0.749281339832521	0.37576885261356635	0.003369	"[{""ZN"":1,""Ncov"":5389,""Nmod"":55,""frac"":0.010205975134533309},{""ZN"":2,""Ncov"":884,""Nmod"":12,""frac"":0.013574660633484163}]"	0.5738388320235424
ALCAM	17802	chr3	105541648	105541649	+	3	chi2_3x2_pc0.5	chi2	1.9620870202582021	0.37491966218776585	0.003321	"[{""ZN"":1,""Ncov"":4215,""Nmod"":14,""frac"":0.0033214709371293},{""ZN"":2,""Ncov"":784,""Nmod"":0,""frac"":0.0},{""ZN"":4,""Ncov"":302,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
MXD1	17802	chr2	69939036	69939037	+	3	chi2_3x2_pc0.5	chi2	1.9607430348818282	0.37517169013039675	0.002947	"[{""ZN"":1,""Ncov"":2036,""Nmod"":6,""frac"":0.0029469548133595285},{""ZN"":2,""Ncov"":770,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":476,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
MXD1	19227	chr2	69939998	69939999	+	3	chi2_3x2_pc0.5	chi2	1.961080308018711	0.375108427798318	0.002938	"[{""ZN"":1,""Ncov"":2042,""Nmod"":6,""frac"":0.002938295788442703},{""ZN"":2,""Ncov"":786,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":462,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
MXD1	17802	chr2	69939998	69939999	+	3	chi2_3x2_pc0.5	chi2	1.961080308018711	0.375108427798318	0.002938	"[{""ZN"":1,""Ncov"":2042,""Nmod"":6,""frac"":0.002938295788442703},{""ZN"":2,""Ncov"":786,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":462,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
MXD1	17802	chr2	69940086	69940087	+	3	chi2_3x2_pc0.5	chi2	1.9580169175204216	0.3756834198389639	0.002921	"[{""ZN"":1,""Ncov"":2054,""Nmod"":6,""frac"":0.0029211295034079843},{""ZN"":2,""Ncov"":776,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":480,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
MXD1	m	chr2	69939204	69939205	+	3	chi2_3x2_pc0.5	chi2	1.9604721745674547	0.3752225031320919	0.002854	"[{""ZN"":1,""Ncov"":2102,""Nmod"":6,""frac"":0.0028544243577545195},{""ZN"":2,""Ncov"":798,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":488,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
MXD1	m	chr2	69939147	69939148	+	3	chi2_3x2_pc0.5	chi2	1.9581991803143053	0.37564918484407145	0.002832	"[{""ZN"":1,""Ncov"":2119,""Nmod"":6,""frac"":0.002831524303916942},{""ZN"":2,""Ncov"":800,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":496,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
MXD1	19228	chr2	69939119	69939120	+	3	chi2_3x2_pc0.5	chi2	1.9591493023263116	0.3754707709465133	0.002814	"[{""ZN"":1,""Ncov"":2132,""Nmod"":6,""frac"":0.0028142589118198874},{""ZN"":2,""Ncov"":808,""Nmod"":0,""frac"":0.0},{""ZN"":3,""Ncov"":496,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	69426	chr3	105576766	105576767	+	2	fisher_exact_2x2	fisher_odds	inf	0.375272730331321	0.002025	"[{""ZN"":1,""Ncov"":4939,""Nmod"":10,""frac"":0.002024701356549909},{""ZN"":2,""Ncov"":813,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	a	chr3	105576240	105576241	+	2	fisher_exact_2x2	fisher_odds	inf	0.37561240978096144	0.001971	"[{""ZN"":1,""Ncov"":5073,""Nmod"":10,""frac"":0.001971220185294697},{""ZN"":2,""Ncov"":816,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	a	chr3	105576720	105576721	+	2	fisher_exact_2x2	fisher_odds	inf	0.3757329582053837	0.00197	"[{""ZN"":1,""Ncov"":5075,""Nmod"":10,""frac"":0.0019704433497536944},{""ZN"":2,""Ncov"":812,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	a	chr3	105576542	105576543	+	2	fisher_exact_2x2	fisher_odds	inf	0.3752609083205991	0.001958	"[{""ZN"":1,""Ncov"":5106,""Nmod"":10,""frac"":0.0019584802193497847},{""ZN"":2,""Ncov"":857,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	a	chr3	105576717	105576718	+	2	fisher_exact_2x2	fisher_odds	inf	0.3753182659871495	0.001935	"[{""ZN"":1,""Ncov"":5168,""Nmod"":10,""frac"":0.001934984520123839},{""ZN"":2,""Ncov"":848,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	a	chr3	105576128	105576129	+	2	fisher_exact_2x2	fisher_odds	inf	0.3754124531868463	0.001933	"[{""ZN"":1,""Ncov"":5173,""Nmod"":10,""frac"":0.0019331142470520007},{""ZN"":2,""Ncov"":842,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	a	chr3	105576160	105576161	+	2	fisher_exact_2x2	fisher_odds	inf	0.37550076559767065	0.001881	"[{""ZN"":1,""Ncov"":5316,""Nmod"":10,""frac"":0.0018811136192626034},{""ZN"":2,""Ncov"":861,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	a	chr3	105576802	105576803	+	2	fisher_exact_2x2	fisher_odds	inf	0.3753854564476352	0.001874	"[{""ZN"":1,""Ncov"":5335,""Nmod"":10,""frac"":0.0018744142455482662},{""ZN"":2,""Ncov"":871,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	69426	chr3	105576171	105576172	+	2	fisher_exact_2x2	fisher_odds	inf	0.37549357059484423	0.001863	"[{""ZN"":1,""Ncov"":5368,""Nmod"":10,""frac"":0.0018628912071535022},{""ZN"":2,""Ncov"":870,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	69426	chr3	105576270	105576271	+	2	fisher_exact_2x2	fisher_odds	inf	0.37539901078357363	0.001852	"[{""ZN"":1,""Ncov"":5400,""Nmod"":10,""frac"":0.001851851851851852},{""ZN"":2,""Ncov"":881,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	17596	chr3	105576651	105576652	+	2	fisher_exact_2x2	fisher_odds	inf	0.37568695291501075	0.001851	"[{""ZN"":1,""Ncov"":5402,""Nmod"":10,""frac"":0.0018511662347278786},{""ZN"":2,""Ncov"":867,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	69426	chr3	105576777	105576778	+	2	fisher_exact_2x2	fisher_odds	inf	0.375512405674237	0.00185	"[{""ZN"":1,""Ncov"":5404,""Nmod"":10,""frac"":0.001850481125092524},{""ZN"":2,""Ncov"":875,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	17596	chr3	105576632	105576633	+	2	fisher_exact_2x2	fisher_odds	inf	0.3752915966555096	0.001845	"[{""ZN"":1,""Ncov"":5420,""Nmod"":10,""frac"":0.0018450184501845018},{""ZN"":2,""Ncov"":895,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	17596	chr3	105576494	105576495	+	2	fisher_exact_2x2	fisher_odds	inf	0.3753144992495928	0.001845	"[{""ZN"":1,""Ncov"":5421,""Nmod"":10,""frac"":0.0018446781036709095},{""ZN"":2,""Ncov"":892,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	69426	chr3	105576230	105576231	+	2	fisher_exact_2x2	fisher_odds	inf	0.3753301196405805	0.001841	"[{""ZN"":1,""Ncov"":5431,""Nmod"":10,""frac"":0.0018412815319462346},{""ZN"":2,""Ncov"":892,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	69426	chr3	105576127	105576128	+	2	fisher_exact_2x2	fisher_odds	inf	0.375451466580645	0.001841	"[{""ZN"":1,""Ncov"":5432,""Nmod"":10,""frac"":0.001840942562592047},{""ZN"":2,""Ncov"":883,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	69426	chr3	105576322	105576323	+	2	fisher_exact_2x2	fisher_odds	inf	0.3754988275489372	0.001834	"[{""ZN"":1,""Ncov"":5454,""Nmod"":10,""frac"":0.0018335166850018336},{""ZN"":2,""Ncov"":884,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	a	chr3	105576466	105576467	+	2	fisher_exact_2x2	fisher_odds	inf	0.3754381001285027	0.001828	"[{""ZN"":1,""Ncov"":5469,""Nmod"":10,""frac"":0.0018284878405558603},{""ZN"":2,""Ncov"":890,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	69426	chr3	105576321	105576322	+	2	fisher_exact_2x2	fisher_odds	inf	0.37580282207436444	0.001828	"[{""ZN"":1,""Ncov"":5471,""Nmod"":10,""frac"":0.0018278194114421495},{""ZN"":2,""Ncov"":874,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
ALCAM	17596	chr3	105576282	105576283	+	2	fisher_exact_2x2	fisher_odds	inf	0.3758161531166959	0.001825	"[{""ZN"":1,""Ncov"":5480,""Nmod"":10,""frac"":0.0018248175182481751},{""ZN"":2,""Ncov"":875,""Nmod"":0,""frac"":0.0}]"	0.5738388320235424
